"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L","Rost%"
"Ryan Loutos","STL","RP","31.7","27","0","0","1","4.28","1.40","15","32","13","3","32","2","1","0%"
"Max Kranick","NYM","RP","38.5","32","0","0","4","4.36","1.31","19","37","13","6","35","2","2","0%"
"Jimmy Herget","COL","RP","44.1","38","0","0","3","4.58","1.35","22","46","14","7","40","2","2","0%"
"Joe Jacques","LAD","RP","13.1","10","0","0","1","4.15","1.41","6","13","5","1","12","1","1","0%"
"Tim Mayza","PIT","RP","49.5","37","0","0","5","4.20","1.40","23","52","17","5","50","2","2","0%"
"Tyler Jay","MIL","RP","13.2","12","0","0","0","4.14","1.38","6","13","5","1","9","1","0","0%"
"Domingo German","","SP,RP","33.2","28","0","0","0","4.91","1.29","18","31","12","5","7","1","2","0%"
"Jonathan Bowlan","KC","SP,RP","32.3","26","0","0","1","4.44","1.35","16","33","10","4","29","2","2","0%"
"Hogan Harris","ATH","SP,RP","42.9","39","0","0","1","4.42","1.41","21","40","20","6","36","2","2","0%"
"Sean Newcomb","BOS","RP","11.9","11","0","0","1","4.86","1.54","6","11","7","2","10","0","1","0%"
"Brad Keller","CHC","RP","23.6","18","0","0","1","4.44","1.43","12","24","10","3","18","1","1","0%"
"Jhonathan Diaz","SEA","SP","10.5","9","0","0","0","4.24","1.39","5","10","4","1","4","0","1","0%"
"Tejay Antone","CIN","RP","10.2","9","0","0","1","4.57","1.40","5","10","4","1","11","0","0","0%"
"Jose Urena","NYM","SP,RP","19.2","14","0","0","2","4.55","1.40","10","20","7","3","15","1","1","0%"
"Brandon Hughes","CHC","RP","14.4","15","0","0","0","4.33","1.31","7","13","6","2","14","1","1","0%"
"Jose Cuas","PHI","RP","10.4","10","0","0","1","4.48","1.44","5","10","5","1","10","0","1","0%"
"Shaun Anderson","LAA","SP,RP","9.5","7","0","0","1","4.46","1.37","5","10","3","1","7","0","0","0%"
"Daniel Bard","","RP","26.9","26","0","0","1","4.61","1.48","14","24","15","3","26","2","2","0%"
"Connor Seabold","TB","SP,RP","12.8","11","0","0","0","4.89","1.30","7","13","4","2","8","1","1","0%"
"Chase Shugart","PIT","RP","20.6","17","0","0","1","4.53","1.41","10","21","8","2","19","1","1","0%"
"Connor Brogdon","LAA","RP","30.6","32","0","0","1","4.51","1.35","15","29","13","5","28","1","2","0%"
"Jake Eder","CWS","SP","14.3","12","0","0","1","4.84","1.51","8","14","7","2","12","1","1","0%"
"Yohan Ramirez","PIT","RP","23.1","22","0","0","1","4.24","1.39","11","21","11","2","22","1","1","0%"
"Sammy Peralta","","RP","12.3","11","0","0","0","5.00","1.51","7","12","7","2","8","1","1","0%"
"Tommy Doyle","COL","RP","10.9","9","0","0","1","4.93","1.49","6","12","5","2","10","1","1","0%"
