#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
29,Randy Arozarena,TB,R,OF,OF,151,633,553,83.1,22.8,80.9,23.3,142.6,87.6,29.4,2.9,246.1,159.2,63.9,11.8,4.7,1.1,9.2,0.258,0.345,0.445,0.791,0.319,668227
30,Ha-Seong Kim,SD,R,2B/SS/ 3B,2B/SS/ 3B,151,632,555,78.3,16.4,63.5,25.5,136.8,91.4,27.6,1.3,216.4,123.0,64.7,5.6,4.8,3.2,7.8,0.247,0.328,0.390,0.718,0.287,673490
31,Francisco Lindor,NYM,S,SS,SS,150,630,556,83.6,25.3,84.0,19.9,142.1,85.5,29.1,2.2,251.6,122.8,59.9,8.9,4.6,3.0,6.3,0.255,0.335,0.452,0.787,0.283,12916
32,Spencer Torkelson,DET,R,1B,1B,151,628,547,81.4,29.0,85.1,2.6,132.0,76.7,25.0,1.4,246.7,145.8,68.6,6.7,4.7,1.4,1.2,0.242,0.330,0.451,0.782,0.274,679529
33,Xander Bogaerts,SD,R,SS,SS,150,627,556,78.6,18.7,77.1,11.5,153.3,102.4,30.7,1.5,243.1,113.8,57.1,6.7,4.3,3.9,3.5,0.275,0.346,0.437,0.784,0.315,12161
34,Ian Happ,CHC,S,OF,OF,151,627,537,77.3,20.2,75.4,11.1,134.7,85.3,26.7,2.5,226.9,148.8,75.9,6.4,4.3,3.6,3.9,0.251,0.346,0.422,0.768,0.307,664023
35,Fernando Tatis Jr.,SD,R,OF,OF,145,627,555,97.4,33.7,87.5,24.9,154.0,86.3,32.6,1.3,290.3,134.4,59.7,4.5,4.4,4.2,7.4,0.277,0.348,0.523,0.871,0.307,665487
36,J.P. Crawford,SEA,L,SS,SS,150,626,533,83.9,12.8,58.7,3.9,137.6,86.6,37.2,0.9,215.2,108.2,76.2,6.9,4.1,5.4,1.5,0.258,0.353,0.404,0.757,0.300,15491
37,Ozzie Albies,ATL,S,2B,2B,145,623,565,93.4,26.9,91.0,12.1,158.0,94.6,32.8,3.7,279.1,103.6,44.1,5.7,4.5,3.7,4.0,0.279,0.334,0.494,0.827,0.298,16556
38,Jose Altuve,HOU,R,2B,2B,140,623,544,98.2,23.9,74.9,14.8,148.5,92.7,30.4,1.6,253.7,101.0,62.4,6.6,3.9,5.9,4.8,0.273,0.350,0.466,0.816,0.295,5417
39,Lane Thomas,WSH,R,OF,OF,151,622,560,77.1,21.8,71.2,14.3,138.3,82.8,31.3,2.5,240.0,156.6,45.7,7.0,4.4,4.3,5.6,0.247,0.308,0.429,0.736,0.302,657041
40,Adolis Garcia,TEX,R,OF,OF,148,622,562,79.6,30.4,93.4,12.7,136.3,77.8,26.5,1.6,257.2,178.1,49.0,6.5,4.3,1.0,4.5,0.243,0.308,0.458,0.766,0.296,666969
41,Steven Kwan,CLE,L,OF,OF,147,622,546,83.2,8.5,55.5,17.6,153.2,106.1,33.6,5.0,222.4,66.8,61.9,5.0,3.9,5.8,5.2,0.280,0.353,0.407,0.760,0.305,680757
42,Pete Alonso,NYM,R,1B,1B,150,619,541,88.5,39.2,104.8,3.9,134.7,71.2,22.8,1.5,278.0,135.4,63.4,12.5,4.5,0.8,1.6,0.249,0.340,0.514,0.854,0.258,624413
43,Christian Walker,ARI,R,1B,1B,150,618,545,77.9,27.0,90.3,5.3,138.6,83.1,26.6,1.9,249.9,128.0,60.4,7.0,4.2,0.9,2.2,0.254,0.334,0.458,0.792,0.283,13419
44,Andres Gimenez,CLE,L,2B,2B,150,618,556,75.1,18.3,72.5,25.5,147.9,92.8,33.2,3.7,243.3,115.1,37.0,17.5,4.5,3.3,7.6,0.266,0.327,0.438,0.765,0.303,665926
45,Manny Machado,SD,R,3B,3B,148,615,551,81.6,29.6,92.2,5.6,148.1,89.8,27.8,0.9,266.5,118.5,56.3,3.2,4.3,1.1,2.2,0.269,0.337,0.484,0.821,0.291,11493
46,Gleyber Torres,NYY,R,2B,2B,148,612,542,81.6,23.9,83.0,13.2,146.6,95.1,25.9,1.7,247.4,106.5,57.4,3.8,4.7,2.1,5.1,0.270,0.339,0.456,0.796,0.294,16997
47,Alec Bohm,PHI,R,1B/3B,1B/3B,150,612,557,74.0,18.7,79.0,4.6,154.5,104.3,30.3,1.2,243.4,108.2,43.5,5.4,4.3,2.4,2.0,0.277,0.333,0.437,0.770,0.312,664761
48,Willy Adames,MIL,R,SS,SS,148,610,538,74.5,25.0,78.6,6.8,128.8,73.9,28.4,1.5,235.1,156.2,63.1,3.8,4.8,2.1,3.1,0.239,0.320,0.437,0.757,0.287,642715
49,Aaron Judge,NYY,R,OF,OF,141,609,503,103.2,42.4,100.7,7.4,136.3,73.1,20.2,0.6,285.0,162.9,92.4,4.4,4.5,2.2,2.7,0.271,0.383,0.566,0.949,0.311,15640
50,Nolan Jones,COL,L,OF,1B/OF,147,608,524,80.5,23.0,79.0,15.7,138.7,87.9,24.1,3.7,239.1,175.2,69.8,5.5,4.6,1.3,5.9,0.264,0.352,0.456,0.808,0.350,666134
51,Nick Castellanos,PHI,R,OF,OF,148,606,558,72.9,22.3,81.8,6.9,145.6,89.1,32.7,1.5,248.1,150.9,37.0,4.8,4.4,2.4,2.8,0.261,0.310,0.445,0.755,0.317,11737
52,Andrew Benintendi,CHW,L,OF,OF,145,603,536,74.1,11.0,56.0,10.9,143.7,98.1,32.7,1.9,213.3,97.0,53.8,3.6,4.0,4.8,4.1,0.268,0.333,0.398,0.731,0.307,17901
53,Oneil Cruz,PIT,L,SS,SS,141,601,531,81.5,25.0,74.4,21.0,132.8,77.6,26.2,4.1,242.2,155.5,57.7,4.8,3.8,5.4,7.1,0.250,0.325,0.456,0.781,0.304,665833
54,Matt McLain,CIN,R,2B/SS,2B/SS,141,600,523,84.7,23.4,75.1,18.7,134.4,72.2,35.7,3.1,246.7,154.6,59.4,8.4,3.9,5.1,6.6,0.257,0.337,0.472,0.809,0.318,680574
55,Andrew Vaughn,CHW,R,1B,1B,151,600,543,73.9,24.4,82.1,0.9,143.2,83.1,34.0,1.6,253.5,120.3,41.1,9.2,4.7,2.0,0.4,0.264,0.322,0.467,0.789,0.295,683734
56,Yordan Alvarez,HOU,L,OF,OF,141,597,503,98.6,38.1,109.6,1.3,151.2,85.5,25.3,2.2,295.2,117.7,77.7,9.7,4.4,2.6,0.6,0.301,0.399,0.587,0.987,0.322,670541
57,Bryce Harper,PHI,L,1B,1B,142,595,501,88.6,29.8,93.5,11.9,144.1,83.1,29.8,1.4,266.0,130.0,84.8,5.4,4.5,0.8,4.1,0.288,0.394,0.531,0.925,0.330,11579
58,Thairo Estrada,SF,R,2B/SS,2B/SS,143,595,542,69.7,16.6,63.4,21.5,140.1,99.7,21.5,2.3,216.1,117.1,34.3,10.9,4.3,3.6,7.5,0.258,0.311,0.398,0.709,0.299,642731
59,Michael Harris II,ATL,L,OF,OF,150,595,547,84.4,23.3,88.4,22.1,159.7,97.1,36.2,3.0,271.9,114.5,34.7,6.5,4.3,3.2,6.7,0.292,0.338,0.497,0.835,0.330,671739
60,Dansby Swanson,CHC,R,SS,SS,148,594,531,69.9,19.8,71.0,9.7,133.2,87.0,24.2,2.1,221.1,145.1,51.8,4.7,4.6,2.5,3.5,0.251,0.319,0.417,0.736,0.306,18314
61,Ezequiel Tovar,COL,R,SS,SS,150,594,548,71.1,17.2,68.0,12.6,144.6,96.5,27.7,3.2,230.2,140.7,30.1,5.2,4.6,4.6,5.0,0.264,0.303,0.420,0.723,0.323,678662
62,Carlos Correa,MIN,R,SS,SS,141,591,518,76.6,20.2,73.0,1.1,135.1,84.4,28.7,1.8,228.1,123.6,62.4,4.7,4.2,3.4,0.5,0.261,0.342,0.440,0.782,0.303,14162
63,Ke’Bryan Hayes,PIT,R,3B,3B,141,591,538,70.6,15.6,68.8,16.3,142.4,93.9,28.3,4.7,226.8,121.1,44.8,3.6,4.4,1.8,5.6,0.265,0.323,0.422,0.744,0.313,663647
64,Jake Burger,MIA,R,3B,3B,145,591,537,72.4,26.4,82.4,2.0,133.8,80.7,24.3,2.4,242.0,158.9,39.1,8.8,4.5,1.4,0.9,0.249,0.308,0.451,0.759,0.302,669394
65,Luis Robert Jr.,CHW,R,OF,OF,144,591,542,78.7,30.1,87.9,17.1,145.2,78.7,35.4,1.0,272.8,150.7,33.3,9.0,4.5,1.1,5.9,0.268,0.318,0.503,0.821,0.314,673357
66,Nolan Arenado,STL,R,3B,3B,143,591,535,75.2,25.8,89.4,3.9,140.9,84.9,28.5,1.7,250.1,90.8,45.3,4.7,4.1,0.8,1.8,0.263,0.323,0.467,0.790,0.272,9777
67,Corey Seager,TEX,L,SS,SS,136,589,519,95.3,30.0,88.2,3.0,153.6,84.6,38.1,0.9,283.3,95.0,57.6,5.9,4.2,3.4,1.2,0.296,0.368,0.546,0.915,0.310,13624
68,Adley Rutschman,BAL,S,C,C,140,588,496,87.3,19.3,66.9,3.0,135.3,83.3,31.5,1.2,227.0,92.4,77.3,5.0,4.2,3.9,1.3,0.273,0.370,0.458,0.828,0.299,668939
69,Zack Gelof,OAK,R,2B,2B,144,586,523,71.2,19.4,61.6,18.9,123.2,73.3,28.9,1.5,213.5,167.1,50.5,4.6,4.2,3.8,7.1,0.236,0.304,0.408,0.712,0.305,680869
70,Riley Greene,DET,L,OF,OF,140,586,521,74.9,16.1,62.6,7.3,141.8,101.1,19.4,5.2,220.0,147.4,52.8,4.7,4.1,3.8,2.9,0.272,0.340,0.422,0.762,0.348,682985
71,Anthony Volpe,NYY,R,SS,SS,149,586,515,72.4,20.6,69.8,21.9,117.9,69.6,24.4,3.3,210.6,142.8,52.5,7.3,4.6,4.4,7.4,0.229,0.304,0.409,0.712,0.273,683011
72,Evan Carter,TEX,L,OF,OF,145,584,500,74.3,16.2,67.7,15.1,126.3,79.5,26.7,4.0,209.4,147.1,70.9,6.4,4.2,3.8,6.6,0.253,0.349,0.418,0.767,0.323,694497
73,George Springer,TOR,R,OF,OF,138,582,514,80.7,23.6,72.5,13.6,132.6,81.1,26.2,1.7,233.1,111.4,52.4,6.2,3.7,5.3,4.2,0.259,0.329,0.454,0.783,0.285,12856
74,Jeremy Pena,HOU,R,SS,SS,151,581,529,72.5,17.4,71.8,12.6,139.2,91.5,27.9,2.3,224.1,122.8,35.0,7.8,4.5,4.2,5.3,0.263,0.314,0.423,0.736,0.309,665161
75,Maikel Garcia,KC,R,3B,SS/3B,144,581,519,72.2,8.0,51.9,21.6,140.3,102.7,26.5,3.0,197.0,117.3,47.7,3.6,4.5,4.6,8.1,0.270,0.330,0.379,0.709,0.332,672580
76,Yandy Diaz,TB,R,1B,1B,135,580,495,88.8,18.3,65.8,3.1,145.4,96.7,29.8,0.6,231.3,86.3,70.5,6.5,3.7,5.3,1.2,0.294,0.384,0.467,0.851,0.322,650490
77,Josh Jung,TEX,R,3B,3B,144,579,531,70.8,25.2,82.9,4.1,134.3,81.6,26.0,1.6,239.0,165.0,36.2,6.5,4.2,2.0,1.8,0.253,0.306,0.450,0.756,0.317,673962
78,Anthony Santander,BAL,S,OF,1B/OF,144,578,518,74.5,27.0,86.7,3.0,130.9,72.9,30.1,0.8,243.7,127.7,46.7,7.6,4.1,0.9,1.5,0.252,0.320,0.471,0.791,0.283,623993
79,Triston Casas,BOS,L,1B,1B,142,576,483,81.0,27.3,84.7,2.0,125.6,72.5,23.5,2.4,235.7,131.9,81.6,4.0,4.0,2.2,0.8,0.260,0.367,0.487,0.854,0.300,671213
80,Spencer Steer,CIN,R,1B/3B/ OF,1B/2B/ 3B/OF,141,575,505,73.3,20.6,76.4,8.5,129.1,70.5,36.1,1.9,230.8,122.9,55.7,8.6,4.3,1.2,3.6,0.256,0.337,0.457,0.793,0.296,668715
81,Bryson Stott,PHI,L,2B,2B,147,575,520,65.9,13.8,64.8,18.6,139.1,96.5,26.5,2.2,211.5,99.7,44.1,4.6,4.5,2.4,6.4,0.267,0.327,0.407,0.734,0.305,681082
82,Josh Bell,MIA,S,1B,1B,142,574,498,73.2,21.0,70.6,1.2,128.3,84.3,21.7,1.3,215.7,111.5,64.4,4.2,4.2,2.6,0.5,0.258,0.344,0.433,0.777,0.290,13145
83,Mike Trout,LAA,R,OF,OF,137,573,493,84.8,32.6,88.0,2.7,127.8,68.3,25.1,1.9,254.4,161.6,65.8,8.1,4.3,1.6,1.0,0.259,0.353,0.516,0.869,0.315,10155
84,Teoscar Hernandez,LAD,R,OF,OF,141,569,521,74.4,28.4,89.2,6.8,135.6,76.6,29.3,1.3,252.6,162.7,36.1,5.6,4.0,1.8,2.6,0.261,0.312,0.485,0.797,0.321,13066
85,Seiya Suzuki,CHC,R,OF,OF,138,569,497,75.2,21.6,71.9,8.8,131.8,83.6,23.3,3.3,226.7,129.8,60.2,4.4,4.1,2.8,4.5,0.265,0.345,0.456,0.802,0.315,673548
86,Marcell Ozuna,ATL,R,DH,DH,142,568,508,78.3,30.1,91.0,1.4,130.3,75.3,23.9,1.0,246.5,131.6,50.0,4.1,4.5,1.9,0.6,0.256,0.325,0.485,0.810,0.286,10324
87,Ryan McMahon,COL,L,2B/3B,2B/3B,144,568,496,68.1,20.6,70.6,6.9,121.2,77.6,20.8,2.2,208.3,163.6,59.5,4.0,4.5,1.8,3.0,0.245,0.325,0.420,0.746,0.318,15112
88,Cody Bellinger,CHC,L,1B/OF,1B/OF,141,567,510,68.4,22.6,78.9,16.6,133.0,85.1,23.2,2.0,228.1,118.2,46.5,4.0,4.2,1.4,5.4,0.261,0.324,0.447,0.771,0.295,15998
89,Bryan De La Cruz,MIA,R,OF,OF,144,567,517,65.2,18.4,69.9,4.3,135.9,90.9,25.8,0.8,218.6,129.7,37.9,3.5,4.4,3.4,1.9,0.263,0.312,0.423,0.735,0.314,650559
90,Masataka Yoshida,BOS,L,OF,OF,140,567,503,76.4,17.8,74.3,4.6,147.5,100.4,27.1,2.2,232.4,72.1,49.9,6.9,4.5,1.8,1.9,0.293,0.361,0.462,0.823,0.311,807799
91,Jung Hoo Lee,SF,L,OF,OF,141,565,506,71.4,10.6,57.1,8.0,146.6,102.7,29.6,3.7,215.3,51.6,46.1,5.1,3.5,5.5,3.0,0.290,0.350,0.426,0.776,0.304,808982
92,Jazz Chisholm Jr.,MIA,L,OF,OF,140,564,509,68.0,24.9,77.7,25.1,124.4,77.3,18.6,3.6,225.0,158.0,44.2,5.1,3.8,1.6,9.3,0.244,0.308,0.442,0.751,0.302,665862
93,Austin Hays,BAL,R,OF,OF,144,561,510,66.1,17.9,69.3,4.6,130.4,82.9,27.7,1.9,215.7,126.2,36.2,6.9,4.1,2.8,2.0,0.256,0.309,0.423,0.732,0.304,669720
94,Jorge Soler,SF,R,OF,OF,138,560,488,71.5,28.4,79.0,1.4,117.9,70.0,18.8,0.8,223.3,141.7,62.3,5.4,3.9,1.7,0.7,0.242,0.331,0.458,0.789,0.279,14221
95,Royce Lewis,MIN,R,3B,3B,136,560,502,76.1,26.2,79.6,11.2,133.6,79.7,26.1,1.6,241.3,127.6,47.9,6.4,3.9,1.0,4.7,0.266,0.336,0.480,0.816,0.305,668904
96,Jordan Walker,STL,R,OF,OF,142,560,498,68.5,19.0,72.1,9.2,132.5,85.2,26.4,2.0,219.9,125.0,46.8,7.4,4.2,3.0,3.8,0.266,0.333,0.442,0.775,0.317,691023
97,Jorge Polanco,SEA,S,2B,2B/3B,137,559,492,69.3,20.1,66.9,5.9,120.5,71.7,28.2,0.6,210.1,130.0,57.2,4.7,4.2,1.3,2.5,0.245,0.326,0.427,0.753,0.290,13152
98,Josh Naylor,CLE,L,1B,1B,138,559,507,71.8,22.8,82.6,7.9,144.2,84.7,36.2,0.5,249.8,85.0,43.1,5.0,3.9,0.9,3.3,0.285,0.344,0.493,0.837,0.301,647304
99,Ryan Mountcastle,BAL,R,1B,1B,138,555,500,70.8,24.1,76.9,4.1,130.5,82.9,22.3,1.3,227.7,136.4,44.2,4.4,3.9,1.8,1.7,0.261,0.322,0.455,0.778,0.310,663624
100,Edouard Julien,MIN,L,2B,2B,137,555,463,74.2,15.7,55.4,6.4,111.2,69.7,24.5,1.4,185.6,162.3,80.7,5.0,3.5,5.0,2.2,0.240,0.355,0.401,0.756,0.331,666397
101,Jeff McNeil,NYM,L,2B/OF,2B/OF,138,553,500,67.1,10.1,61.9,5.0,144.1,98.9,32.7,2.5,211.9,62.8,36.9,11.2,4.4,1.8,2.0,0.288,0.348,0.423,0.771,0.310,643446
102,Luis Rengifo,LAA,S,2B/SS/ 3B/OF,2B/SS/ 3B/OF,138,553,498,72.2,19.1,66.5,9.3,129.9,84.9,22.1,3.9,216.9,98.0,40.4,6.2,3.7,4.4,3.7,0.261,0.319,0.435,0.755,0.288,650859
103,Rhys Hoskins,MIL,R,1B,1B,137,552,481,71.0,26.6,77.2,3.0,116.0,63.2,24.6,1.6,223.5,143.2,62.2,5.4,3.8,1.5,1.4,0.242,0.333,0.465,0.798,0.284,656555
104,Jarren Duran,BOS,L,OF,OF,138,552,494,70.0,14.2,60.3,24.1,127.6,79.7,29.4,4.3,208.2,141.2,42.5,6.1,3.6,4.8,6.6,0.258,0.319,0.421,0.740,0.331,680776
105,Elly De La Cruz,CIN,S,SS/3B,SS/3B,134,552,496,72.6,21.9,70.1,30.6,123.0,68.5,27.5,5.1,226.3,165.5,45.0,4.1,3.9,3.2,11.1,0.248,0.312,0.456,0.768,0.324,682829
106,Eugenio Suarez,ARI,R,3B,3B,142,551,479,63.3,20.0,65.3,1.6,110.4,68.9,20.6,0.9,192.6,162.2,58.0,8.3,4.1,2.3,0.7,0.231,0.321,0.402,0.723,0.301,12552
107,Justin Turner,TOR,R,1B,1B/3B,137,550,490,65.4,16.3,67.7,2.9,125.6,79.7,29.2,0.4,204.4,102.7,46.5,8.3,3.9,1.2,1.1,0.256,0.328,0.418,0.746,0.292,5235
108,Brandon Drury,LAA,R,1B/2B,1B/2B,138,548,503,67.2,23.4,77.4,2.7,125.4,72.8,27.0,2.2,227.0,135.7,32.2,6.7,3.9,2.1,1.3,0.250,0.300,0.451,0.751,0.293,11615
109,Vinnie Pasquantino,KC,L,1B,1B,137,548,475,75.1,22.6,79.1,2.2,131.3,79.2,28.1,1.4,230.2,74.7,60.6,5.5,4.1,1.0,0.9,0.277,0.360,0.484,0.844,0.284,686469
110,Anthony Rizzo,NYY,L,1B,1B,136,547,474,70.8,23.6,76.7,4.5,115.0,68.4,22.1,0.9,209.7,114.6,51.1,16.0,3.9,1.0,2.1,0.243,0.333,0.443,0.776,0.269,3473
111,Trevor Story,BOS,R,SS,SS,134,545,488,65.0,18.3,65.6,20.4,114.3,69.1,25.5,1.4,197.3,155.0,44.6,6.7,4.1,1.2,6.3,0.234,0.304,0.405,0.709,0.301,12564
112,Jackson Chourio,MIL,R,OF,OF,140,541,495,62.5,16.9,61.6,33.1,125.7,82.5,24.2,2.1,204.9,118.4,34.2,4.2,4.4,4.4,13.5,0.255,0.304,0.414,0.718,0.299,694192
113,Matt Chapman,SF,R,3B,3B,141,540,469,61.5,19.5,63.8,3.6,107.6,66.3,19.8,2.0,189.7,155.6,59.9,6.3,3.8,2.0,1.6,0.230,0.322,0.405,0.727,0.296,16505
114,Isaac Paredes,TB,R,1B/3B,1B/2B/ 3B,137,539,464,71.2,25.3,77.0,1.4,114.4,65.2,22.9,0.9,215.1,93.3,60.4,9.6,4.3,1.7,0.6,0.247,0.342,0.463,0.805,0.254,670623
115,Charlie Blackmon,COL,L,OF,OF,129,537,477,72.3,13.4,58.4,5.3,133.2,93.5,21.7,4.6,204.2,90.1,41.6,9.3,3.5,4.5,1.9,0.279,0.343,0.429,0.772,0.318,7859
116,Christopher Morel,CHC,R,OF,2B/OF,137,534,477,68.1,25.6,73.2,9.8,116.5,66.4,21.0,3.4,221.2,156.6,47.0,4.2,3.7,1.9,4.2,0.244,0.315,0.464,0.779,0.305,666624
117,Lourdes Gurriel Jr.,ARI,R,OF,OF,134,533,488,63.2,16.4,69.0,4.1,135.2,88.3,28.7,1.8,216.8,95.5,33.7,5.3,3.8,1.9,1.9,0.277,0.327,0.444,0.770,0.312,666971
118,Cedric Mullins,BAL,L,OF,OF,137,532,473,68.4,16.7,61.2,25.0,118.8,72.9,26.7,2.6,200.7,108.1,44.3,5.3,3.4,4.6,6.6,0.251,0.317,0.424,0.741,0.290,656775
119,Yoan Moncada,CHW,S,3B,3B,134,531,470,63.2,15.8,58.5,2.5,117.3,72.0,28.3,1.2,195.3,145.1,48.0,5.4,3.9,3.0,1.0,0.249,0.322,0.415,0.737,0.324,17232
120,DJ LeMahieu,NYY,R,1B/3B,1B/2B/ 3B,133,531,461,66.6,12.9,55.4,4.3,118.5,85.0,18.8,1.8,179.7,100.5,56.1,4.2,3.4,4.3,1.6,0.257,0.337,0.390,0.727,0.301,9874
121,Jeimer Candelario,CIN,S,1B/3B,1B/3B,134,530,470,65.4,20.1,72.7,4.2,118.5,64.8,31.9,1.6,214.1,121.9,47.0,7.3,4.2,1.7,1.8,0.252,0.326,0.455,0.781,0.296,13621
122,Jose Abreu,HOU,R,1B,1B,133,529,471,64.6,16.7,69.0,1.0,122.9,80.3,24.9,1.0,199.7,112.2,43.5,8.9,4.1,1.4,0.4,0.261,0.332,0.424,0.756,0.307,15676
123,Tim Anderson,MIA,R,SS,SS,137,528,492,57.6,7.8,51.8,12.8,139.4,106.9,22.3,2.4,189.9,109.4,25.4,4.2,4.0,2.8,4.0,0.283,0.320,0.386,0.707,0.348,15172
124,Kerry Carpenter,DET,L,OF,OF,134,527,477,61.9,20.9,70.6,4.3,121.2,81.7,16.1,2.5,205.1,129.8,37.7,7.5,3.7,0.9,2.1,0.254,0.316,0.430,0.745,0.304,681481
125,Max Muncy,LAD,L,3B,3B,133,526,435,70.9,26.0,75.0,2.2,99.0,52.0,20.0,1.1,199.2,132.2,77.3,6.3,4.1,1.4,1.0,0.228,0.348,0.458,0.805,0.260,13301
126,Wyatt Langford,TEX,R,OF,OF,132,526,457,73.5,24.4,77.4,19.6,124.1,73.7,23.9,2.1,225.4,118.5,59.6,5.9,4.0,0.6,8.5,0.271,0.360,0.493,0.853,0.313,694671
127,Eloy Jimenez,CHW,R,DH,OF,133,524,477,67.7,25.9,82.0,0.5,132.3,78.3,27.5,0.5,238.6,108.4,39.2,3.8,3.6,0.8,0.2,0.277,0.335,0.501,0.835,0.308,650391
128,Ty France,SEA,R,1B,1B,135,524,463,61.6,14.6,62.3,0.9,124.2,78.6,30.4,0.6,199.8,90.3,34.9,18.0,4.0,3.4,0.4,0.268,0.339,0.432,0.770,0.302,664034
129,Carlos Santana,MIN,S,1B,1B,134,522,456,61.7,18.2,64.5,3.0,108.6,67.5,22.2,0.8,186.9,95.4,60.7,2.5,3.7,1.5,1.1,0.239,0.329,0.410,0.739,0.262,2396
130,William Contreras,MIL,R,C,C,126,522,459,70.0,20.0,66.1,3.8,126.3,79.8,25.3,1.1,214.0,114.4,52.8,4.6,3.8,3.0,1.5,0.275,0.352,0.466,0.818,0.323,661388
131,J.D. Martinez,FA,R,DH,DH,132,516,465,63.0,21.8,71.5,1.0,115.6,66.6,25.6,1.6,210.0,146.1,41.7,4.1,3.9,1.1,0.4,0.248,0.312,0.451,0.764,0.311,6184
132,Joey Meneses,WSH,R,DH,1B,131,515,473,59.5,16.4,65.6,0.7,126.2,81.9,26.7,1.1,204.2,111.0,33.2,4.0,3.6,0.9,0.3,0.267,0.317,0.432,0.749,0.315,608841
133,Jake Cronenworth,SD,L,1B/2B,1B/2B,134,515,454,59.9,12.6,58.2,4.2,113.2,67.8,28.6,4.2,187.9,94.1,47.9,9.4,3.8,1.4,1.7,0.250,0.330,0.414,0.744,0.287,630105
134,Jackson Holliday,BAL,L,SS,SS,137,514,439,61.0,8.9,51.0,15.6,111.7,74.9,25.2,2.8,169.2,119.2,61.4,4.1,4.2,4.2,7.0,0.255,0.345,0.385,0.730,0.327,702616
135,Sal Frelick,MIL,L,OF,OF,130,512,453,60.0,8.7,50.0,11.5,121.0,85.6,23.8,2.9,176.6,72.6,49.7,5.1,3.5,1.9,4.6,0.267,0.343,0.390,0.734,0.299,686217
136,Taylor Ward,LAA,R,OF,OF,129,510,446,67.1,18.9,65.1,5.4,117.5,72.6,24.9,1.1,201.2,108.8,50.7,7.1,3.9,2.2,2.2,0.264,0.344,0.451,0.795,0.306,621493
137,Brendan Donovan,STL,L,2B/OF,1B/2B/ OF,125,508,435,70.3,11.0,49.9,6.4,120.3,86.2,21.5,1.6,178.1,77.7,54.5,10.3,3.3,4.4,2.5,0.277,0.364,0.410,0.774,0.313,680977
138,Brendan Rodgers,COL,R,2B,2B,130,507,461,61.7,14.8,64.0,0.9,128.9,87.9,23.6,2.6,202.2,96.0,35.1,5.7,3.6,1.0,0.4,0.280,0.335,0.439,0.773,0.323,663898
139,James Outman,LAD,L,OF,OF,137,507,436,64.2,18.9,62.4,9.2,100.3,58.5,20.4,2.6,182.5,159.1,55.0,8.2,3.8,2.9,3.5,0.230,0.322,0.418,0.741,0.311,681546
140,MJ Melendez,KC,L,OF,C/OF,130,503,433,63.2,18.5,62.7,6.0,104.4,61.5,21.4,3.0,187.3,127.0,57.6,3.0,3.3,3.6,2.5,0.241,0.328,0.432,0.760,0.295,669004
141,Parker Meadows,DET,L,OF,OF,130,503,446,59.7,12.9,49.0,11.5,104.1,71.3,14.7,5.2,167.9,117.4,45.6,4.0,3.2,4.6,3.8,0.233,0.305,0.377,0.682,0.286,678009
142,Orlando Arcia,ATL,R,SS,SS,140,501,448,65.3,16.5,63.5,2.6,113.1,74.6,21.4,0.6,185.3,96.8,41.4,3.9,3.9,4.0,0.9,0.252,0.316,0.413,0.729,0.285,13185
143,Chas McCormick,HOU,R,OF,OF,134,501,439,63.0,18.6,62.8,12.8,107.1,69.5,17.2,1.7,183.6,134.1,48.6,6.7,3.7,2.8,5.0,0.244,0.324,0.418,0.742,0.304,676801
144,Nathaniel Lowe,TEX,L,1B,1B,129,500,436,65.1,17.4,65.7,2.0,117.7,73.4,25.0,1.8,198.7,114.4,57.2,3.5,3.8,1.1,0.8,0.270,0.357,0.456,0.813,0.326,663993
145,Starling Marte,NYM,R,OF,OF,128,500,455,58.4,12.5,54.9,25.9,119.1,83.5,20.4,2.7,182.3,104.7,30.3,10.0,3.5,2.3,6.7,0.261,0.319,0.400,0.719,0.312,9241
146,Byron Buxton,MIN,R,DH,DH,123,499,445,66.0,25.6,70.7,8.9,102.6,51.4,23.6,2.1,207.2,147.7,43.4,7.0,3.7,1.3,2.9,0.231,0.307,0.466,0.773,0.280,14161
147,Daulton Varsho,TOR,L,OF,OF,137,499,446,63.0,21.2,65.0,13.9,106.2,61.3,21.5,2.2,195.7,116.0,41.7,4.5,3.9,2.1,5.2,0.238,0.306,0.439,0.745,0.272,662139
148,Jonathan India,CIN,R,2B,2B,122,498,431,67.2,16.4,58.8,9.9,111.1,64.3,29.5,0.9,191.7,103.9,48.7,12.7,3.4,2.5,3.7,0.258,0.346,0.445,0.791,0.301,663697
149,Nolan Gorman,STL,L,2B,2B/3B,127,497,438,64.6,25.1,71.5,5.3,106.6,62.0,18.9,0.6,201.9,142.7,49.0,4.0,3.8,1.1,2.2,0.243,0.321,0.461,0.782,0.297,669357
150,Brent Rooker,OAK,R,OF,OF,130,494,433,58.6,22.8,64.0,2.9,95.4,51.5,20.2,1.0,186.0,163.8,47.2,9.1,3.7,0.8,1.2,0.221,0.307,0.430,0.737,0.291,667670
151,Kris Bryant,COL,R,OF,1B/OF,121,490,431,65.1,17.8,62.3,2.7,117.9,77.2,21.5,1.3,195.4,101.0,43.9,6.5,3.5,2.8,1.0,0.273,0.343,0.454,0.797,0.317,15429
