#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
729,Adam Engel,FA,R,OF,OF,11,29,26,2.8,0.6,2.7,1.0,5.3,3.4,1.2,0.1,8.5,9.6,2.0,0.4,0.2,0.2,0.3,0.202,0.265,0.323,0.588,0.290,15082
730,Roberto Perez,BOS,R,C,C,11,29,26,3.3,0.9,3.1,0.3,5.3,3.4,0.8,0.1,9.1,9.4,2.7,0.3,0.2,0.2,0.1,0.205,0.283,0.351,0.633,0.278,2900
731,Tomas Nido,NYM,R,DH,C,11,29,27,3.0,0.5,2.7,0.2,6.0,4.3,1.1,0.1,8.7,7.3,1.5,0.2,0.2,0.2,0.1,0.222,0.265,0.324,0.589,0.282,621512
732,Anthony Bemboom,DET,L,C,C,11,29,25,2.9,0.5,2.5,0.2,5.3,3.9,0.7,0.2,7.9,7.0,2.6,0.3,0.2,0.2,0.1,0.209,0.286,0.311,0.597,0.265,621532
733,Danny Mendick,CHW,R,DH,2B/3B,11,29,26,3.2,0.6,2.9,0.4,6.4,4.4,1.4,0.1,9.8,5.7,2.2,0.3,0.2,0.2,0.2,0.246,0.309,0.375,0.684,0.291,664901
734,Diego Hernandez,KC,L,OF,OF,11,29,26,2.9,0.4,2.7,0.9,6.2,4.6,1.1,0.2,8.9,6.9,1.6,0.3,0.2,0.2,0.4,0.237,0.283,0.337,0.620,0.303,678746
735,Jake Marisnick,LAA,R,OF,OF,11,28,25,3.1,0.6,2.9,0.7,5.8,3.7,1.2,0.2,9.3,8.5,1.7,0.5,0.2,0.2,0.3,0.226,0.284,0.365,0.649,0.310,11339
736,Ray-Patrick Didder,SD,R,SS,SS,10,28,25,2.7,0.5,2.3,0.9,4.9,3.4,1.0,0.1,7.5,8.4,2.3,0.5,0.2,0.2,0.3,0.199,0.278,0.303,0.581,0.277,642720
737,Kevin Padlo,LAD,R,3B,3B,10,28,25,3.2,0.9,3.2,0.4,5.2,2.9,1.3,0.1,9.5,8.4,2.5,0.2,0.2,0.1,0.2,0.213,0.287,0.387,0.674,0.278,656821
738,Hunter Stovall,COL,R,2B,2B,10,28,26,3.0,0.4,2.7,0.6,6.4,4.7,1.2,0.2,9.2,5.4,1.8,0.2,0.2,0.2,0.3,0.253,0.301,0.360,0.660,0.303,667663
739,Aaron Schunk,COL,R,3B,3B,10,28,26,3.0,0.6,2.9,0.5,6.2,4.3,1.1,0.2,9.4,7.2,1.5,0.2,0.2,0.2,0.2,0.242,0.285,0.367,0.653,0.312,668845
740,Maxwell Schuemann,OAK,R,SS,SS,10,28,24,2.7,0.4,2.3,0.8,5.0,3.4,1.1,0.1,7.6,8.0,2.7,0.6,0.2,0.2,0.3,0.206,0.294,0.311,0.605,0.285,680474
741,Caleb Hamilton,LAA,R,C,C,10,26,23,2.7,0.6,2.3,0.2,3.9,2.4,0.8,0.0,6.7,9.5,2.9,0.2,0.2,0.2,0.1,0.173,0.269,0.298,0.567,0.260,643348
742,Cole Tucker,SEA,S,DH,2B/OF,10,26,23,2.5,0.4,2.1,0.4,4.6,3.1,1.1,0.1,7.0,7.4,2.3,0.2,0.2,0.2,0.2,0.202,0.278,0.306,0.584,0.279,657061
743,Nathan Martorella,SD,L,1B,1B,10,26,23,2.9,0.7,2.8,0.2,5.2,3.1,1.3,0.0,8.8,5.8,2.5,0.2,0.2,0.2,0.1,0.228,0.306,0.384,0.690,0.271,687210
744,David Dahl,PHI,L,OF,OF,9,25,23,2.7,0.6,2.7,0.2,5.5,3.6,1.2,0.1,8.7,6.0,1.7,0.2,0.2,0.2,0.1,0.240,0.294,0.380,0.674,0.297,13744
745,Conner Capel,CIN,L,OF,OF,9,25,22,2.8,0.7,2.7,0.7,5.0,3.2,1.0,0.1,8.4,6.4,2.4,0.2,0.2,0.1,0.3,0.226,0.305,0.376,0.680,0.284,668843
746,Greg Jones,TB,S,SS,SS,9,25,23,2.4,0.5,2.2,0.9,4.6,3.0,1.0,0.1,7.2,9.5,1.6,0.3,0.2,0.2,0.3,0.201,0.260,0.318,0.579,0.315,675659
747,Everson Pereira,NYY,R,OF,OF,9,25,23,3.0,0.8,3.0,0.4,5.3,3.4,1.0,0.1,9.1,7.9,1.8,0.3,0.2,0.2,0.2,0.234,0.292,0.398,0.690,0.314,677592
748,Jorbit Vivas,NYY,L,2B,2B,9,25,22,2.9,0.5,2.5,0.4,5.2,3.6,1.1,0.1,7.8,3.9,2.2,0.6,0.2,0.2,0.2,0.234,0.314,0.351,0.665,0.263,678391
749,Stephen Scott,BOS,L,OF,OF,9,25,22,3.0,0.7,2.7,0.2,4.8,2.9,1.1,0.1,8.0,6.0,2.8,0.2,0.2,0.2,0.1,0.217,0.307,0.364,0.671,0.266,679663
750,Drew Gilbert,NYM,L,OF,OF,9,25,22,3.0,0.7,2.9,0.3,5.4,3.4,1.2,0.1,8.9,5.8,2.2,0.3,0.2,0.2,0.1,0.242,0.313,0.401,0.714,0.293,687551
751,Alex Ramirez,NYM,R,OF,OF,9,25,23,2.3,0.4,2.1,0.4,4.5,3.3,0.8,0.1,6.6,6.7,1.7,0.2,0.2,0.2,0.2,0.199,0.258,0.289,0.546,0.261,691267
752,Jeferson Quero,MIL,R,C,C,9,25,23,2.8,0.7,2.7,0.2,5.3,3.6,1.0,0.1,8.6,5.5,1.8,0.2,0.2,0.2,0.1,0.234,0.293,0.378,0.671,0.277,691620
753,Trayce Thompson,NYM,R,OF,OF,9,25,22,2.9,1.0,2.8,0.3,4.3,2.4,0.8,0.1,8.1,9.5,2.8,0.3,0.2,0.2,0.1,0.197,0.295,0.374,0.670,0.288,9952
754,Henry Ramos,CIN,S,DH,OF,9,24,21,2.8,0.6,2.7,0.3,5.3,3.4,1.1,0.1,8.6,5.7,2.3,0.3,0.2,0.1,0.1,0.250,0.327,0.404,0.731,0.309,592656
755,Josh Lester,KC,L,3B,3B,9,24,22,2.8,0.8,2.8,0.1,4.9,2.9,1.0,0.1,8.6,6.3,1.5,0.2,0.2,0.2,0.0,0.224,0.274,0.392,0.667,0.273,623507
756,Carlos Perez,CHW,R,C,C,9,24,22,2.7,0.8,2.8,0.1,5.2,3.2,1.2,0.0,8.8,3.6,1.5,0.3,0.2,0.2,0.0,0.235,0.287,0.396,0.683,0.246,656024
757,Dalton Guthrie,BOS,R,3B,3B,9,24,22,2.8,0.5,2.5,0.4,5.3,3.7,1.1,0.1,8.0,5.8,1.7,0.4,0.2,0.2,0.2,0.245,0.307,0.370,0.677,0.311,656495
